id,url,name,category,review_count,blog_review_count,address,phone_number,fordisabled,nursery,parking,pet,smokingroom,wifi,dayOfWeek_1,dayOfWeek_2,dayOfWeek_3,timeName_1,timeName_2,timeName_3,timeSE_1,timeSE_2,timeSE_3,appointment,delivery,pagekage
1,https://place.map.kakao.com/1762781450,목구멍 율전점,목구멍,11,746,경기 수원시 장안구 화산로233번길 46,0507-1464-9295,,N,Y,N,N,Y,매일,,,영업시간,,,16:00 ~ 23:00,,,Y,,
2,https://place.map.kakao.com/29972796,고기굽는교실 율전3반,"육류,고기",43,408,경기 수원시 장안구 율전로98번길 9,031-297-8592,,N,Y,N,N,Y,매일,,,영업시간,,,11:30 ~ 23:00,,,Y,,
3,https://place.map.kakao.com/22282335,봉수육,"족발,보쌈",65,225,경기 수원시 장안구 율전로108번길 11,,,N,N,N,N,Y,월~토,,,영업시간,,,16:00 ~ 22:00,,,N,N,Y
4,https://place.map.kakao.com/1744478913,자명문,카페,33,131,경기 수원시 장안구 율전로108번길 9,,,N,N,N,N,Y,매일,,,영업시간,,,11:00 ~ 23:00,,,,Y,Y
6,https://place.map.kakao.com/1498762960,유케집 성대점,"호프,요리주점",2,49,경기 수원시 장안구 화산로213번길 15,,Y,N,N,N,N,Y,매일,,,영업시간,,,16:00 ~ 02:00,,,Y,,Y
7,https://place.map.kakao.com/1300977401,청년밥상,한식,40,44,경기 수원시 장안구 서부로2126번길 17,031-298-1822,,N,Y,N,N,Y,월~금,토,월~금,영업시간,영업시간,휴게시간,11:00 ~ 20:00,11:00 ~ 14:00,14:00 ~ 17:00,,Y,Y
8,https://place.map.kakao.com/520447689,정성식탁,이탈리안,0,93,경기 수원시 장안구 서부로2136번길 9,0507-1338-1190,N,N,N,N,N,Y,매일,매일,,영업시간,휴게시간,,11:30 ~ 21:00,15:00 ~ 17:00,,N,Y,Y
9,https://place.map.kakao.com/21390672,명동돈까스,"돈까스,우동",23,11,경기 수원시 장안구 서부로2106번길 17,031-297-7774,,N,N,N,N,,월~토,,,영업시간,,,10:00 ~ 20:30,,,,,
10,https://place.map.kakao.com/346317197,플렁드,"제과,베이커리",33,108,경기 수원시 장안구 율전로 91,031-309-1488,,N,N,N,N,N,수~일,,,영업시간,,,11:00 ~ 23:00,,,Y,Y,Y
11,https://place.map.kakao.com/18515289,보리네 주먹고기,"육류,고기",47,143,경기 수원시 장안구 율전로98번길 6-9,031-295-5664,N,N,Y,N,N,Y,매일,,,영업시간,,,17:00 ~ 22:00,,,Y,N,N
12,https://place.map.kakao.com/641918700,에스쿱,이탈리안,11,155,경기 수원시 장안구 덕영대로445번길 37,010-8548-3234,,,N,N,N,Y,화~토,월,,영업시간,영업시간,,19:00 ~ 21:00,17:00 ~ 22:00,,Y,,
13,https://place.map.kakao.com/2058600136,라잌댓,카페,25,114,경기 수원시 장안구 덕영대로445번길 12,070-8285-0716,,N,N,N,N,Y,월~금,,,영업시간,,,08:30 ~ 22:00,,,,Y,Y
14,https://place.map.kakao.com/824423309,모수밀면,국수,44,53,경기 수원시 장안구 율전로107번길 5,031-278-7978,Y,N,Y,N,N,Y,화~일,,,영업시간,,,11:00 ~ 15:00,,,N,N,Y
