id,name,category,review_count,address,rating,rating_count,phone_number,operate_time,url,fordisabled,nursery,parking,pet,smokingroom,wifi,dayOfWeek_1,dayOfWeek_2,dayOfWeek_3,timeName_1,timeName_2,timeName_3,timeSE_1,timeSE_2,timeSE_3,appointment,delivery,pagekage
1,목구멍 율전점,"육류,고기",748,경기 수원시 장안구 화산로233번길 46 1층,4.0,11.0,0507-1464-9295,영업시간 매일 16:00 ~ 23:00,https://place.map.kakao.com/1762781450,,N,Y,N,N,Y,매일,,,영업시간,,,16:00 ~ 23:00,,,Y,,
2,고기굽는교실 율전3반,"육류,고기",409,경기 수원시 장안구 율전로98번길 9 성원빌딩 1층 102호,4.5,43.0,031-297-8592,영업시간 매일 11:30 ~ 23:00,https://place.map.kakao.com/29972796,,N,Y,N,N,Y,매일,,,영업시간,,,11:30 ~ 23:00,,,Y,,
3,봉수육,"족발,보쌈",225,경기 수원시 장안구 율전로108번길 11 1층,4.1,65.0,,영업시간 월~토 16:00 ~ 22:00,https://place.map.kakao.com/22282335,,N,N,N,N,Y,월~토,,,영업시간,,,16:00 ~ 22:00,,,N,N,Y
4,자명문,카페,133,경기 수원시 장안구 율전로108번길 9 율전미주타운 1층 102호,4.6,33.0,,영업시간 매일 11:00 ~ 23:00,https://place.map.kakao.com/1744478913,,N,N,N,N,Y,매일,,,영업시간,,,11:00 ~ 23:00,,,,Y,Y
6,유케집 성대점,"호프,요리주점",55,경기 수원시 장안구 화산로213번길 15 태화빌딩 1층,5.0,2.0,,매일 16:00 ~ 02:00,https://place.map.kakao.com/1498762960,Y,N,N,N,N,Y,매일,,,영업시간,,,16:00 ~ 02:00,,,Y,,Y
7,청년밥상,한식,44,경기 수원시 장안구 서부로2126번길 17,3.4,40.0,031-298-1822,영업시간 월~금 11:00 ~ 20:00 · 휴게시간 월~금 14:00 ~ 17:00,https://place.map.kakao.com/1300977401,,N,Y,N,N,Y,월~금,토,월~금,영업시간,영업시간,휴게시간,11:00 ~ 20:00,11:00 ~ 14:00,14:00 ~ 17:00,,Y,Y
8,정성식탁,이탈리안,92,경기 수원시 장안구 서부로2136번길 9 1층,,,0507-1338-1190,영업시간 매일 11:30 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:00,https://place.map.kakao.com/520447689,N,N,N,N,N,Y,매일,매일,,영업시간,휴게시간,,11:30 ~ 21:00,15:00 ~ 17:00,,N,Y,Y
9,명동돈까스,"돈까스,우동",11,경기 수원시 장안구 서부로2106번길 17 1층,4.2,23.0,031-297-7774,영업시간 월~토 10:00 ~ 20:30,https://place.map.kakao.com/21390672,,N,N,N,N,,월~토,,,영업시간,,,10:00 ~ 20:30,,,,,
10,플렁드,"제과,베이커리",109,경기 수원시 장안구 율전로 91 1층,4.4,33.0,031-309-1488,영업시간 수~일 11:00 ~ 23:00,https://place.map.kakao.com/346317197,,N,N,N,N,N,수~일,,,영업시간,,,11:00 ~ 23:00,,,Y,Y,Y
11,보리네 주먹고기,"육류,고기",142,경기 수원시 장안구 율전로98번길 6-9 1층,4.4,47.0,031-295-5664,영업시간 매일 17:00 ~ 22:00,https://place.map.kakao.com/18515289,N,N,Y,N,N,Y,매일,,,영업시간,,,17:00 ~ 22:00,,,Y,N,N
12,에스쿱,이탈리안,157,경기 수원시 장안구 덕영대로445번길 37 1층 102호,4.9,11.0,010-8548-3234,영업시간 화~토 19:00 ~ 21:00,https://place.map.kakao.com/641918700,,,N,N,N,Y,화~토,월,,영업시간,영업시간,,19:00 ~ 21:00,17:00 ~ 22:00,,Y,,
13,라잌댓,카페,115,경기 수원시 장안구 덕영대로445번길 12 1층,3.4,25.0,070-8285-0716,영업시간 월~금 08:30 ~ 22:00,https://place.map.kakao.com/2058600136,,N,N,N,N,Y,월~금,,,영업시간,,,08:30 ~ 22:00,,,,Y,Y
