id,url,name,category,review_count,blog_review_count,address,phone_number,operation_info
서울24시감자탕해장국,경기 수원시 장안구 서부로 2163
봉수육,경기 수원시 장안구 율전로108번길 11
고기굽는교실 율전3반,경기 수원시 장안구 율전로98번길 9
보영만두 성대직영점,경기 수원시 장안구 화산로233번길 30
보리네 주먹고기,경기 수원시 장안구 율전로98번길 6-9
청년밥상,경기 수원시 장안구 서부로2126번길 17
본만두 천천점,경기 수원시 장안구 정자로 16
스타벅스 수원성균관대점,경기 수원시 장안구 서부로 2131
택이네조개전골 성대점,경기 수원시 장안구 율전로98번길 9
경기수산직판장 성균관대점,경기 수원시 장안구 율전로97번길 4
명륜진사갈비 수원성균관대점,경기 수원시 장안구 서부로 2129-5
모수밀면,경기 수원시 장안구 율전로107번길 5
백령도생바지락칼국수,경기 수원시 장안구 화산로233번길 49
맥도날드 수원성균관대점,경기 수원시 장안구 서부로 2127
라잌댓,경기 수원시 장안구 덕영대로445번길 12
카마타케제면소 성균관대역사점,경기 수원시 장안구 서부로 2149
선참치,경기 수원시 장안구 서부로2105번길 26-4
아늑,경기 수원시 장안구 서부로2106번길 36-4
이라면,경기 수원시 장안구 서부로2106번길 18
은행나무참숯풍천민물장어,경기 수원시 장안구 서부로2135번길 27
명가양꼬치,경기 수원시 장안구 서부로2105번길 21
양푼동태탕,경기 수원시 장안구 서부로2168번길 13-10
포동이네 성대점,경기 수원시 장안구 율전로98번길 6-2
마포숯불갈비,경기 수원시 장안구 율전로98번길 20
르디망슈,경기 수원시 장안구 율전로107번길 5
홍구등갈비 본점,경기 수원시 장안구 서부로2168번길 5-13
천포 천천점,경기 수원시 장안구 덕영대로511번길 29-15
먹깨비김밥,경기 수원시 장안구 서부로 2129-1
드럼통돌구이,경기 수원시 장안구 율전로108번길 9
오르카커피룸,경기 수원시 장안구 화산로 235
최고집 원조 수구레,경기 수원시 장안구 서부로 2107
키와마루아지 성균관대점,경기 수원시 장안구 서부로2105번길 26-3
생각나는순대국 본점,경기 수원시 장안구 율전로 84
수참치 성대점,경기 수원시 장안구 서부로2123번길 17
대동집 수원성균관대점,경기 수원시 장안구 율전로108번길 15
토기장이오리&삼겹살전문점,경기 수원시 장안구 서부로 2178
정원,경기 수원시 장안구 서부로2123번길 34-3
아구아구대구왕뽈찜,경기 수원시 장안구 하률로 31
성대목장이,경기 수원시 장안구 서부로2105번길 16-1
벨라튀니지,경기 수원시 장안구 서부로2106번길 21
우특심한우곱창 장안구율전점,경기 수원시 장안구 율전로 90-10
사랑해 수원성대점,경기 수원시 장안구 화산로233번길 42
우리소양평해장국,경기 수원시 장안구 서부로 2179
자명문,경기 수원시 장안구 율전로108번길 9
주야,경기 수원시 장안구 서부로2135번길 30
우리동네스시신조,경기 수원시 장안구 만석로19번길 25-5
맥주호텔,경기 수원시 장안구 서부로2105번길 12
영통찌개지존 성대점,경기 수원시 장안구 화산로233번길 47
카페일구오삼,경기 수원시 장안구 율전로107번길 73
여유당카페,경기 수원시 장안구 덕영대로407번길 7
카페롤랑,경기 수원시 장안구 율전로85번길 20
롯데리아 수원성대점,경기 수원시 장안구 서부로 2119
경복궁개성손만두메밀소바전문점 율전점,경기 수원시 장안구 서부로 2171
닥치고삼겹살 수원점,경기 수원시 장안구 덕영대로445번길 12-8
카페쓰리몽키즈,경기 수원시 권선구 율전로63번길 5-10
황금족발 수원성대점,경기 수원시 장안구 서부로 2125
춘천닭갈비칡냉면,경기 수원시 장안구 화산로233번길 64
일성,경기 수원시 장안구 율전로 92
본찌돈까스 성대점,경기 수원시 장안구 서부로2106번길 22
옛날사람,경기 수원시 장안구 화산로233번길 17
비추는별,경기 수원시 장안구 서부로2105번길 12
아이엠바리스타,경기 수원시 장안구 서부로 2132
한창희천하일면 수원성대점,경기 수원시 장안구 화산로233번길 46
대성장,경기 수원시 장안구 서부로2181번길 46-6
투썸플레이스 수원성균관대점,경기 수원시 장안구 서부로2105번길 13
지장수본가전주콩나물국밥 2호점,경기 수원시 장안구 서부로2123번길 29
목구멍 율전점,경기 수원시 장안구 화산로233번길 46
김엄마밥집,경기 수원시 장안구 덕영대로425번길 34
예술상,경기 수원시 장안구 율전로 92
부라보쪽갈비 성대점,경기 수원시 장안구 화산로233번길 10
1인자감자탕,경기 수원시 장안구 화산로233번길 43
화이트스노우 성균관대점,경기 수원시 장안구 서부로 2132
동대문엽기떡볶이 수원성대점,경기 수원시 장안구 서부로 2132
맘스터치 수원성균관대점,경기 수원시 장안구 서부로 2128
합 성대율전동직영2호점,경기 수원시 장안구 서부로2105번길 26-4
인더비엣 수원성대점,경기 수원시 장안구 율전로108번길 23
중경마라탕 성대점,경기 수원시 장안구 서부로2106번길 10
동네아저씨 수원성아치,경기 수원시 장안구 서부로2123번길 29
설빙 수원성대점,경기 수원시 장안구 서부로 2107
이라부,경기 수원시 장안구 서부로 2135
램공방,경기 수원시 장안구 정자로 12
양철통낙지,경기 수원시 장안구 화산로233번길 41
엉터리생고기 수원성대역점,경기 수원시 장안구 화산로 231-10
박경규항아리보쌈 성대,경기 수원시 장안구 화산로233번길 64
정성담은샤브칼국수,경기 수원시 장안구 화산로233번길 60
도미노피자 율천점,경기 수원시 장안구 하률로 3
국수파동,경기 수원시 장안구 서부로 2107
비사이드,경기 수원시 장안구 정자로 6
보배반점 성균관대점,경기 수원시 장안구 서부로 2132
찬이네주먹고기,경기 수원시 장안구 서부로2105번길 23
동네빈대떡 성대직영점,경기 수원시 장안구 율전로 90-4
사거리다방,경기 수원시 장안구 율전로85번길 2
파리바게뜨 성균관대점,경기 수원시 장안구 서부로 2135
오스테리아우노,경기 수원시 장안구 율전로98번길 7
청년다방 수원성균관대점,경기 수원시 장안구 화산로233번길 35
먹거리고을,경기 수원시 장안구 서부로2126번길 10
예감쪽갈비 수원성대점,경기 수원시 장안구 율전로98번길 6-9
감스시,경기 수원시 장안구 서부로2123번길 17
이자카야 슌,경기 수원시 장안구 서부로2105번길 26-5
플렁드,경기 수원시 장안구 율전로 91
"일미,닭갈비,파전",경기 수원시 장안구 서부로2106번길 26-3
BBQ 수원성대역점,경기 수원시 장안구 서부로2126번길 27
월매랑삼겹이랑,경기 수원시 장안구 화산로213번길 11
빽다방 수원성균관대역점,경기 수원시 장안구 서부로 2129-1
카페휴,경기 수원시 장안구 정자로32번길 16
생마차 수원성대점,경기 수원시 장안구 화산로233번길 49
장수촌 천천점,경기 수원시 장안구 정자로 14
나츠비,경기 수원시 장안구 서부로2106번길 22
