id,name,category,review_count,address,rating,rating_count,phone_number,operate_time
1,목구멍 율전점,"육류,고기",746,경기 수원시 장안구 화산로233번길 46 1층,4.0,11,0507-1464-9295,영업시간 매일 16:00 ~ 23:00
2,고기굽는교실 율전3반,"육류,고기",408,경기 수원시 장안구 율전로98번길 9 성원빌딩 1층 102호,4.5,43,031-297-8592,영업시간 매일 11:30 ~ 23:00
3,봉수육,"족발,보쌈",225,경기 수원시 장안구 율전로108번길 11 1층,4.1,65,,영업시간 월~토 16:00 ~ 22:00
4,자명문,카페,131,경기 수원시 장안구 율전로108번길 9 율전미주타운 1층 102호,4.6,33,,영업시간 매일 11:00 ~ 23:00
6,유케집 성대점,"호프,요리주점",49,경기 수원시 장안구 화산로213번길 15 태화빌딩 1층,5.0,2,,영업시간 매일 16:00 ~ 02:00
7,청년밥상,한식,44,경기 수원시 장안구 서부로2126번길 17,3.4,40,031-298-1822,영업시간 월~금 11:00 ~ 20:00 · 휴게시간 월~금 14:00 ~ 17:00
8,정성식탁,이탈리안,93,경기 수원시 장안구 서부로2136번길 9 1층,,,0507-1338-1190,영업시간 매일 11:30 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:00
9,명동돈까스,"돈까스,우동",11,경기 수원시 장안구 서부로2106번길 17 1층,4.2,23,031-297-7774,영업시간 월~토 10:00 ~ 20:30
10,플렁드,"제과,베이커리",108,경기 수원시 장안구 율전로 91 1층,4.4,33,031-309-1488,"월,화요일"
11,보리네 주먹고기,"육류,고기",143,경기 수원시 장안구 율전로98번길 6-9 1층,4.4,47,031-295-5664,영업시간 매일 17:00 ~ 22:00
12,에스쿱,이탈리안,155,경기 수원시 장안구 덕영대로445번길 37 1층 102호,4.9,11,010-8548-3234,영업시간 월 17:00 ~ 22:00
13,라잌댓,카페,114,경기 수원시 장안구 덕영대로445번길 12 1층,3.4,25,070-8285-0716,영업시간 월~금 08:30 ~ 22:00
14,모수밀면,국수,53,"경기 수원시 장안구 율전로107번길 5 해생빌딩 1층 101, 102호",4.5,44,031-278-7978,월요일
