restaurant_id,review_name,review_count
1,음식이 맛있어요,200
1,친절해요,83
2,음식이 맛있어요,1983
2,친절해요,1198
2,매장이 청결해요,912
2,양이 많아요,743
2,재료가 신선해요,674
2,차분한 분위기에요,605
2,메뉴 구성이 알차요,598
2,인테리어가 멋져요,545
2,특별한 메뉴가 있어요,430
2,음식이 빨리 나와요,372
3,음식이 맛있어요,258
3,친절해요,134
3,재료가 신선해요,78
3,매장이 청결해요,76
4,음식이 맛있어요,604
4,친절해요,443
4,재료가 신선해요,232
4,직접 잘 구워줘요,210
4,양이 많아요,148
4,고기 질이 좋아요,139
4,가성비가 좋아요,139
4,특별한 메뉴가 있어요,103
4,매장이 청결해요,90
4,단체모임 하기 좋아요,76
5,음식이 맛있어요,234
5,술이 다양해요,172
5,친절해요,139
5,특별한 메뉴가 있어요,124
5,인테리어가 멋져요,84
5,대화하기 좋아요,79
5,기본 안주가 좋아요,60
5,매장이 청결해요,56
5,가성비가 좋아요,50
