restaurant_id,restaurant_name,day,info
1,정든닭발 성대점,화,17:00 - 01:00
1,정든닭발 성대점,수,17:00 - 01:00
1,정든닭발 성대점,목,17:00 - 01:00
1,정든닭발 성대점,금,17:00 - 01:00
1,정든닭발 성대점,토,17:00 - 01:00
1,정든닭발 성대점,일,정기휴무 (매주 일요일)
1,정든닭발 성대점,월,17:00 - 01:00
2,정성식탁,매일,"11:30 - 20:40
20:10 라스트오더"
3,보리네주먹고기,화,"17:00 - 22:00
21:20 라스트오더"
3,보리네주먹고기,수,"17:00 - 22:00
21:20 라스트오더"
3,보리네주먹고기,목,"17:00 - 22:00
21:20 라스트오더"
3,보리네주먹고기,금,"17:00 - 22:00
21:20 라스트오더"
3,보리네주먹고기,토,"17:00 - 22:00
21:20 라스트오더"
3,보리네주먹고기,일,"17:00 - 22:00
21:20 라스트오더"
3,보리네주먹고기,월,"17:00 - 22:00
21:20 라스트오더"
3,보리네주먹고기,격주 월요일 정기 휴무,
