id,name,category,review_count,address,rating,number,image_url,custom_category
1,명동돈까스,돈가스,192,경기 수원시 장안구 서부로2106번길 17,4.7,031-297-7774,,한식
2,목구멍 율전점,"육류,고기요리",999+,경기 수원시 장안구 화산로233번길 46 1층,,031-293-9294,,한식
3,작은바와 서양면집 성대역본점,요리주점,758,경기 수원시 장안구 하률로 13 1층,,0507-1341-5669,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240210_267%2F1707566558875CoLN3_JPEG%2FKakaoTalk_20240209_205748065_02.jpg,양식
4,자명문,"카페,디저트",775,경기 수원시 장안구 율전로108번길 9 율전미주타운 1층 102호,4.69,0507-1315-4231,,카페
5,봉수육,"족발,보쌈",999+,경기 수원시 장안구 율전로108번길 11 1층,4.59,0507-1460-0903,,한식
6,고기굽는교실 율전3반,"육류,고기요리",999+,경기 수원시 장안구 율전로98번길 9,4.7,0507-1479-8592,,한식
7,유케집 성대점,요리주점,67,경기 수원시 장안구 화산로213번길 15,,0507-1359-2593,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240418_83/1713415279843jAr6x_JPEG/%B0%F8%B1%E2%B9%E4.jpg,양식
8,청년밥상,한식,662,경기 수원시 장안구 서부로2136번길 10 1층,,0507-1307-1822,,한식
9,정성식탁,이탈리아음식,999+,경기 수원시 장안구 서부로2136번길 9 1층 정성식탁,,0507-1338-1190,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/image_library/20221214/r_20221214_65.jpg,양식
10,플렁드,베이커리,582,경기 수원시 장안구 율전로 91 1층,,031-309-1488,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20210329_265/1617000787187Tt6Ww_JPEG/lm6rFsT3jwI041DhbAAgn5zy.jpg,카페
11,에스쿱,이탈리아음식,662,경기 수원시 장안구 덕영대로445번길 37,5,0507-1480-3239,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240219_212/1708346077059YvtKx_JPEG/KakaoTalk_20240219_212920993_06.jpg,양식
12,모수밀면,국수,612,경기 수원시 장안구 율전로107번길 5 해생빌딩 1층,4.48,031-278-7978,,한식
13,보리네주먹고기,돼지고기구이,999+,경기 수원시 장안구 율전로98번길 6-9,4.8,0507-1306-5664,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230308_269/1678242413453k16OC_JPEG/1.jpg,한식
14,라잌댓,"카페,디저트",590,경기 수원시 장안구 덕영대로445번길 12,4.71,070-8285-0716,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/1/18/orcCTIDdS5zP0Ec1b2f4mtoTdvbGsvKM51PNP88QqzBrbZAMsuIFmMSDnG2KscTU.jpg,카페
15,서울24시감자탕,감자탕,999+,경기 수원시 장안구 서부로 2163,4.37,0507-1400-6557,,한식
16,아늑,이탈리아음식,999+,경기 수원시 장안구 서부로2106번길 36-4 1층,,070-7766-7725,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20231210_8/1702176970200r6B2b_JPEG/GJS09128.jpg,양식
17,은행나무장어,"장어,먹장어요리",657,경기 수원시 장안구 서부로2135번길 27 풍천민물장어,,031-298-1314,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20231228_62/1703736014119gXSad_PNG/%C0%E5%BE%EE%C1%A4%BD%C4.png,한식
18,보영만두 성대직영점,분식,999+,경기 수원시 장안구 화산로233번길 30,4.33,031-227-6700,,한식
19,카페로디,"카페,디저트",847,경기 수원시 장안구 화산로213번길 11 2층,,0507-1476-5107,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20220219_72/16452458231687K4SF_JPEG/21EA1E91-7020-4478-9BEB-3CDBB0A11DF2.jpeg,카페
20,블랙스미스,양식,651,경기 수원시 장안구 화산로233번길 47 2층,,0507-1314-4184,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230810_85/1691650310241aehPz_JPEG/Screenshot_20230810_155017_KakaoTalk.jpg,양식
